"","Seizure.Date","Cannabis","Cocaine","Heroin"
"1","1/1/10",79.02,46.012,2.0675
"2","1/1/13",268.3784,341.57347,7.012053
"3","1/1/14",30.130212,937.304002,0.02761
"4","1/1/15",51.12892,0.007773,7.3410825
"5","1/10/10",1550.6866,14.756,19.4702
"6","1/10/13",1006.580928,73.7461,34.591989
"7","1/10/14",124.79411189,7.484317,12.12652
"8","1/10/15",38.939,5.4275029,23.50522
"9","1/11/10",153.91578,24.684,31.16291
"10","1/11/13",133.7391733,83.7302,19.2740119
"11","1/11/14",40.93627,453.9675,70.767521
"12","1/11/15",117.86154,4.47621,1.13505
"13","1/12/10",25.225,1477.125,12.84259
"14","1/12/13",7906.48544,590.376576,7.6464
"15","1/12/14",336.932312348,351.99281,0.66958
"16","1/12/15",11.7793685,1.418917,38.6742
"17","1/13/10",35.67348,81.596,6.58372
"18","1/13/13",593.185,3578.8323,52.631
"19","1/13/14",177.80596,6.5516,4.4032259
"20","1/13/15",14.086723,39.514852,960.771755
"21","1/14/10",141164.06751,9.619,4.46704
"22","1/14/13",3841.34567,19.84665,18.13103
"23","1/14/14",112.683045,94.22063,9.49043
"24","1/14/15",24.012685,1.029108,4.5180102
"25","1/15/10",1243.24352,24.422,5.50246
"26","1/15/13",759.31905,52.57491,5.8450073
"27","1/15/14",579.35611,53.943502,1.627658
"28","1/15/15",38.595008,0.626359,2.2887659
"29","1/16/10",953.456,59.512,2.29261
"30","1/16/13",561.80038,188.461,42.8213
"31","1/16/14",263.4796537,1247.9038,875.243497
"32","1/16/15",40.177682,0.70733,9.077756
"33","1/17/10",5064.159,5.23,3.76483
"34","1/17/13",400.3542,626.06098,92.174337
"35","1/17/14",3961.891118,115.938767,1.881853
"36","1/17/15",30.88879,0.423645,5.20558
"37","1/18/10",378.18731,57.822,7.06801
"38","1/18/13",1995.816656,821.54919,88.316042
"39","1/18/14",5429.718,325.81566,5.35466714
"40","1/18/15",4.67694,0.87077,0.53523
"41","1/19/10",334.64924,34.524,19.89172
"42","1/19/13",8818.586551,98.7598,0.60057
"43","1/19/14",1255.04546,119.51829,99.14352
"44","1/19/15",15.2826518,0.879219,15.528313
"45","1/2/10",25.775,8.705,6.25258
"46","1/2/13",139.516343,0.7002,0.956
"47","1/2/14",194.66388,101.08614,8.58421
"48","1/2/15",93.544624,12.964748,1.998432
"49","1/20/10",884.72196,4.629,20.74412
"50","1/20/13",204.5783375,2515.9143,24.544035
"51","1/20/14",693.471241,355.374162,2.92031
"52","1/20/15",25.4151241,2.15449,2.552337
"53","1/21/10",596.17894,75.774,27.55373
"54","1/21/13",718.445634,3849.0019,9.1024432
"55","1/21/14",339.4947301,190.37679,5.11186
"56","1/21/15",29.90493,8.4665474,5.329383
"57","1/22/10",232.98593,40.336,43.41423
"58","1/22/13",200.9139,16.9302,11.829
"59","1/22/14",1040.329429,2768.15783,2.4774054
"60","1/22/15",21.182557,4.122492,2.8094658
"61","1/23/10",671.15,39.911,11.88
"62","1/23/13",782.404527,46.67445,3.359
"63","1/23/14",835.98168,1516.100275,29.01044266
"64","1/23/15",97.130214,45.532838,29.85003
"65","1/24/10",148.543,4.391,7.87423
"66","1/24/13",1909.5455555,789.965395,6.4806942
"67","1/24/14",2905.51212,35.875368,9.401593
"68","1/24/15",21.00065,0.131664,120.30721
"69","1/25/10",756.77315,28.901,7.17682
"70","1/25/13",3188.401953,892.0518,1.444309
"71","1/25/14",672.149079,15.239725,16.8195566
"72","1/25/15",9.633633,2.5914345,4.5069444
"73","1/26/10",1136.6884,438.236,10.154882
"74","1/26/13",1434.54,64.3605,93.831
"75","1/26/14",66.623706,425.35882,21.026686
"76","1/26/15",46.57271,0.37084,15.89308
"77","1/27/10",388.249,1843.76,10.3415
"78","1/27/13",296.779,108.414057,42.9111
"79","1/27/14",132.7114421,1555.1990111,27.165508
"80","1/27/15",46.259167,1.7065054,4.9494918
"81","1/28/10",4172.4815,580.348,28.23973
"82","1/28/13",93.99517,153.44764,13.565607
"83","1/28/14",675.430632,218.97305,112.375177
"84","1/28/15",20.308764,47.819029,8.4688747
"85","1/29/10",1331.38549,20.936,5.46508
"86","1/29/13",460.818585,160.4136,160.6271
"87","1/29/14",558.213238,424.60195,3.842461
"88","1/29/15",166.304352,0.408469,3.938037
"89","1/3/10",48.74854,194.598,21.3
"90","1/3/13",201.01416,555.3662,1098.61929
"91","1/3/14",1611.346384,0.745574,43.074405
"92","1/3/15",183.01643,0.25506,10.704486
"93","1/30/10",1709.929,38.267,4.4202
"94","1/30/13",540.45148328,117.8856,8.2142419
"95","1/30/14",5486.7953381,662.733422,9.9911936
"96","1/30/15",43.867459,0.633947,3.810783
"97","1/31/10",249.237,26.352,4.25294
