"","Destination.Country","Cannabis","Cocaine","Heroin","code"
"1","Antigua and Barbuda",925.35,NA,NA,"ATG"
"2","Argentina",15372.325,8.678,NA,"ARG"
"3","Armenia",7,NA,6.934,"ARM"
"4","Austria",10.677,23.288,83.627,"AUT"
"5","Barbados",24.1,NA,NA,"BRB"
"6","Belgium",91.53,760.216,52.93,"BEL"
"7","Botswana",46,NA,NA,"BWA"
"8","Brazil",24,91.899,NA,"BRA"
"9","China",6.5,70.653,14.195,"CHN"
"10","Cuba",0.32,2.956,NA,"CUB"
"11","Denmark",9.512,62.812,9.512,"DNK"
"12","Dominican Republic",463.541,77.681,14.715,"DOM"
"13","Ethiopia",0.15,0.957,3,"ETH"
"14","France",16.562,808.4436,5,"FRA"
"15","Germany",317,2331.694,59.41,"DEU"
"16","Grenada",101.7,NA,NA,"GRD"
"17","Guyana",35,NA,NA,"GUY"
"18","India",828.6,NA,93.92,"IND"
"19","Italy",6.5,189.583,1.916,"ITA"
"20","Japan",0.515,17.664,1.115,"JPN"
"21","Nepal",585.285,NA,109.438,"NPL"
"22","Netherlands",272,2082.564,174.552,"NLD"
"23","Portugal",0.625,741.177857143,30.754,"PRT"
"24","Russia",2631.0062,214.678,196.13957,"RUS"
"25","Saint Vincent and the Grenadines",211.76,NA,NA,"VCT"
"26","South Africa",1553,95.563,27.07,"ZAF"
"27","Spain",28.165,28493.36669,216.482,"ESP"
"28","Sri Lanka",58.2,3.978,5.478,"LKA"
"29","Swaziland",83,NA,NA,"SWZ"
"30","Thailand",749,17.033,101.188,"THA"
"31","Trinidad and Tobago",4154.828,NA,0.192,"TTO"
"32","Turkmenistan",0.3239,NA,48.46987,"TKM"
"33","United Arab Emirates",4.14,NA,49.065,"ARE"
"34","United Kingdom",48,166.809,120.694,"GBR"
"35","Algeria",NA,0.99,NA,"DZA"
"36","Angola",NA,80.993,NA,"AGO"
"37","Australia",NA,68.364,3.9,"AUS"
"38","Benin",NA,13.78,NA,"BEN"
"39","Bulgaria",NA,19.42,15,"BGR"
"40","Burundi",NA,2.47,NA,"BDI"
"41","Cabo Verde",NA,5.494,NA,"CPV"
"42","Cambodia",NA,0.984,NA,"KHM"
"43","Cameroon",NA,6.74,2.535,"CMR"
"44","Canada",NA,144.364,38.865,"CAN"
"45","Croatia",NA,18.784,NA,"HRV"
"46","Czech Republic",NA,27.253,0.8,"CZE"
"47","Dominica",NA,92.031,9.401,"DMA"
"48","Egypt",NA,0.681,NA,"EGY"
"49","Estonia",NA,107.8,NA,"EST"
"50","Fiji",NA,1.9,NA,"FJI"
"51","Gambia, The",NA,1.09,NA,"GMB"
"52","Greece",NA,27.11,0.927,"GRC"
"53","Guatemala",NA,49.331,NA,"GTM"
"54","Guinea",NA,2.392,NA,"GIN"
"55","Guinea-Bissau",NA,3.393,NA,"GNB"
"56","Hong Kong",NA,3.96,NA,"HKG"
"57","Hungary",NA,1.455,NA,"HUN"
"58","Iran",NA,16.809,NA,"IRN"
"59","Ireland",NA,25.354,0.5,"IRL"
"60","Israel",NA,2.28,NA,"ISR"
"61","Jamaica",NA,0.553,NA,"JAM"
"62","Laos",NA,5.225,NA,"LAO"
"63","Latvia",NA,1.824,NA,"LVA"
"64","Lebanon",NA,285.311,NA,"LBN"
"65","Lithuania",NA,8.046,NA,"LTU"
"66","Luxembourg",NA,10.736,NA,"LUX"
"67","Malaysia",NA,4.068,37.945,"MYS"
"68","Mali",NA,1.319,0.4,"MLI"
"69","Mexico",NA,9.027,NA,"MEX"
"70","Monaco",NA,6,NA,"MCO"
"71","Morocco",NA,6.342,NA,"MAR"
"72","Mozambique",NA,9.515,4.945,"MOZ"
"73","Namibia",NA,1.896,NA,"NAM"
"74","New Zealand",NA,11.34543,NA,"NZL"
"75","Nigeria",NA,85.268,25.41,"NGA"
"76","Norway",NA,2.581,NA,"NOR"
"77","Pakistan",NA,228.4,518.849,"PAK"
"78","Panama",NA,125.036,NA,"PAN"
"79","Philippines",NA,0.92,0.35,"PHL"
"80","Poland",NA,4.4,NA,"POL"
"81","Puerto Rico",NA,702.813,NA,"PRI"
"82","Romania",NA,2.4,NA,"ROU"
"83","Serbia",NA,1.788,NA,"SRB"
"84","Slovenia",NA,2.966,NA,"SVN"
"85","Sweden",NA,9.59,NA,"SWE"
"86","Switzerland",NA,219.484,8,"CHE"
"87","Syria",NA,1,17.434,"SYR"
"88","Tanzania",NA,5.245,3.01,"TZA"
"89","Turkey",NA,13.2,2.155,"TUR"
"90","Uganda",NA,5.1,11.35,"UGA"
"91","Ukraine",NA,3868.535,3.4,"UKR"
"92","United States",NA,2445.501,13.625,"USA"
"93","Uruguay",NA,2.938,NA,"URY"
"94","Vietnam",NA,5.2,0.895,"VNM"
"95","Zimbabwe",NA,2.16,0.3,"ZWE"
"96","Afghanistan",NA,NA,1.27,"AFG"
"97","Bangladesh",NA,NA,10.492,"BGD"
"98","Ghana",NA,NA,103,"GHA"
"99","Kazakhstan",NA,NA,76.66903,"KAZ"
"100","Kenya",NA,NA,6.315,"KEN"
"101","Liberia",NA,NA,1.765,"LBR"
"102","Maldives",NA,NA,0.6,"MDV"
"103","Mauritius",NA,NA,4.182,"MUS"
"104","Oman",NA,NA,0.65,"OMN"
"105","Saudi Arabia",NA,NA,12.485,"SAU"
"106","Sudan",NA,NA,2.25,"SDN"
"107","Togo",NA,NA,0.38,"TGO"
"108","Uzbekistan",NA,NA,64.19873,"UZB"
