"","Drug.Name","Region","Country.obtained...Departure.Country","Destination.Country","long.country.obtained","lat.country.obtained","long.destination.country","lat.destination.country"
"1","Cannabis Herb (Marijuana)","Americas","Guatemala","Mexico",-90.230759,15.783471,-102.552784,23.634501
"5","Heroin","Asia","Pakistan","Sri Lanka",69.345116,30.375321,80.771797,7.873054
"7","Heroin","Africa","South Africa","Tanzania",22.937506,-30.559482,34.888822,-6.369028
"8","Heroin","Americas","Ecuador","United States",-78.183406,-1.831239,-95.712891,37.09024
"9","Cannabis Herb (Marijuana)","Americas","Ecuador","Spain",-78.183406,-1.831239,-3.74922,40.463667
"10","Cocaine","Americas","Spain","United States",-3.74922,40.463667,-95.712891,37.09024
"11","Cocaine","Americas","Ecuador","Australia",-78.183406,-1.831239,NA,NA
"12","Cannabis Herb (Marijuana)","Americas","Ecuador","Australia",-78.183406,-1.831239,NA,NA
"24","Cocaine","Americas","Colombia","Ecuador",-74.297333,4.570868,-78.183406,-1.831239
"29","Cannabis Herb (Marijuana)","Americas","Colombia","Ecuador",-74.297333,4.570868,-78.183406,-1.831239
"30","Cocaine","Americas","Ecuador","United States",-78.183406,-1.831239,-95.712891,37.09024
"33","Cannabis Herb (Marijuana)","Americas","Spain","Ecuador",-3.74922,40.463667,-78.183406,-1.831239
"34","Cannabis Herb (Marijuana)","Americas","Ecuador","Colombia",-78.183406,-1.831239,-74.297333,4.570868
"35","Heroin","Americas","Ecuador","Colombia",-78.183406,-1.831239,-74.297333,4.570868
"36","Cocaine","Americas","Ecuador","Spain",-78.183406,-1.831239,-3.74922,40.463667
"38","Heroin","Asia","Tajikistan","Kazakhstan",71.276093,38.861034,66.923684,48.019573
"39","Heroin","Asia","Uzbekistan","Kazakhstan",64.585262,41.377491,66.923684,48.019573
"41","Heroin","Asia","Kazakhstan","Russian Federation",66.923684,48.019573,105.318756,61.52401
"42","Heroin","Asia","Kyrgyzstan","Kazakhstan",74.766098,41.20438,66.923684,48.019573
"45","Heroin","Asia","Kyrgyzstan","Russian Federation",74.766098,41.20438,105.318756,61.52401
"50","Heroin","Asia","Tajikistan","Russian Federation",71.276093,38.861034,105.318756,61.52401
"58","Heroin","Asia","Kazakhstan","Ukraine",66.923684,48.019573,31.16558,48.379433
"59","Heroin","Asia","Turkey","Kazakhstan",35.243322,38.963745,66.923684,48.019573
"65","Cocaine","Europe","Belgium","Austria",4.469936,50.503887,14.550072,47.516231
"66","Cocaine","Europe","Germany","Austria",10.451526,51.165691,14.550072,47.516231
"67","Cocaine","Europe","Netherlands","Austria",5.291266,52.132633,14.550072,47.516231
"69","Cannabis Herb (Marijuana)","Europe","Luxembourg","France",6.129583,49.815273,2.213749,46.227638
"70","Cocaine","Europe","Dominican Republic","Luxembourg",-70.162651,18.735693,6.129583,49.815273
"71","Cocaine","Europe","Netherlands","France",5.291266,52.132633,2.213749,46.227638
"72","Heroin","Europe","Netherlands","France",5.291266,52.132633,2.213749,46.227638
"73","Cannabis Herb (Marijuana)","Europe","Netherlands","Luxembourg",5.291266,52.132633,6.129583,49.815273
"74","Heroin","Europe","Netherlands","Luxembourg",5.291266,52.132633,6.129583,49.815273
"80","Cocaine","Europe","Belgium","Luxembourg",4.469936,50.503887,6.129583,49.815273
"82","Cocaine","Europe","Brazil","Italy",-51.92528,-14.235004,12.56738,41.87194
"83","Cannabis Herb (Marijuana)","Europe","Netherlands","France",5.291266,52.132633,2.213749,46.227638
"91","Cocaine","Europe","Brazil","France",-51.92528,-14.235004,2.213749,46.227638
"92","Cocaine","Europe","Brazil","Spain",-51.92528,-14.235004,-3.74922,40.463667
"93","Cocaine","Europe","Chile","Portugal",-71.542969,-35.675147,-8.224454,39.399872
"94","Cannabis Herb (Marijuana)","Europe","Netherlands","Portugal",5.291266,52.132633,-8.224454,39.399872
"95","Cocaine","Europe","Brazil","Portugal",-51.92528,-14.235004,-8.224454,39.399872
"100","Cocaine","Europe","Guinea-Bissau","Portugal",-15.180413,11.803749,-8.224454,39.399872
"105","Cocaine","Europe","Brazil","Belgium",-51.92528,-14.235004,4.469936,50.503887
"108","Cocaine","Europe","Spain","Portugal",-3.74922,40.463667,-8.224454,39.399872
"109","Cocaine","Europe","Peru","Portugal",-75.015152,-9.189967,-8.224454,39.399872
"110","Heroin","Europe","Spain","Portugal",-3.74922,40.463667,-8.224454,39.399872
"112","Cannabis Herb (Marijuana)","Europe","Portugal","France",-8.224454,39.399872,2.213749,46.227638
"114","Cannabis Herb (Marijuana)","Europe","United States","Portugal",-95.712891,37.09024,-8.224454,39.399872
"116","Cocaine","Europe","Brazil","United Kingdom",-51.92528,-14.235004,-3.435973,55.378051
"121","Cocaine","Europe","Brazil","Morocco",-51.92528,-14.235004,-7.09262,31.791702
"123","Cocaine","Europe","Brazil","Germany",-51.92528,-14.235004,10.451526,51.165691
"126","Cocaine","Europe","Venezuela, Bolivarian Republic of","Belgium",-66.58973,6.42375,4.469936,50.503887
"136","Cocaine","Europe","Morocco","Portugal",-7.09262,31.791702,-8.224454,39.399872
"139","Cocaine","Europe","Cabo Verde","Portugal",-23.6051868,15.120142,-8.224454,39.399872
"144","Cannabis Herb (Marijuana)","Europe","United Arab Emirates","Portugal",53.847818,23.424076,-8.224454,39.399872
"145","Cocaine","Europe","Colombia","Spain",-74.297333,4.570868,-3.74922,40.463667
"146","Cocaine","Europe","Dominican Republic","Spain",-70.162651,18.735693,-3.74922,40.463667
"147","Cannabis Herb (Marijuana)","Europe","Spain","Finland",-3.74922,40.463667,25.748151,61.92411
"149","Cocaine","Europe","Venezuela, Bolivarian Republic of","Spain",-66.58973,6.42375,-3.74922,40.463667
"151","Cocaine","Europe","Panama","Spain",-80.782127,8.537981,-3.74922,40.463667
"152","Cocaine","Europe","Colombia","Israel",-74.297333,4.570868,34.851612,31.046051
"154","Cocaine","Europe","Boliva","Spain",-63.588653,-16.290154,-3.74922,40.463667
"159","Cocaine","Europe","Argentina","Spain",-63.616672,-38.416097,-3.74922,40.463667
"162","Cocaine","Europe","Paraguay","Spain",-58.443832,-23.442503,-3.74922,40.463667
"163","Cocaine","Europe","Peru","Spain",-75.015152,-9.189967,-3.74922,40.463667
"170","Cocaine","Europe","Germany","Spain",10.451526,51.165691,-3.74922,40.463667
"172","Cocaine","Europe","Mexico","Spain",-102.552784,23.634501,-3.74922,40.463667
"174","Cocaine","Europe","Portugal","Spain",-8.224454,39.399872,-3.74922,40.463667
"176","Cocaine","Europe","Ecuador","Spain",-78.183406,-1.831239,-3.74922,40.463667
"185","Heroin","Europe","Turkey","Spain",35.243322,38.963745,-3.74922,40.463667
"186","Cocaine","Europe","Spain","Finland",-3.74922,40.463667,25.748151,61.92411
"193","Cocaine","Europe","United States","Spain",-95.712891,37.09024,-3.74922,40.463667
"195","Cocaine","Europe","Uruguay","Spain",-55.765835,-32.522779,-3.74922,40.463667
"196","Heroin","Europe","India","Spain",78.96288,20.593684,-3.74922,40.463667
"203","Cannabis Herb (Marijuana)","Europe","Spain","Germany",-3.74922,40.463667,10.451526,51.165691
"205","Cocaine","Europe","Costa Rica","Spain",-83.753428,9.748917,-3.74922,40.463667
"209","Cocaine","Europe","Argentina","Uruguay",-63.616672,-38.416097,-55.765835,-32.522779
"234","Cocaine","Europe","Boliva","Netherlands",-63.588653,-16.290154,5.291266,52.132633
"235","Cannabis Herb (Marijuana)","Europe","Morocco","Spain",-7.09262,31.791702,-3.74922,40.463667
"238","Cannabis Herb (Marijuana)","Europe","Morocco","Finland",-7.09262,31.791702,25.748151,61.92411
"239","Cocaine","Europe","Argentina","Uganda",-63.616672,-38.416097,32.290275,1.373333
"250","Cannabis Herb (Marijuana)","Europe","Spain","Italy",-3.74922,40.463667,12.56738,41.87194
"255","Cannabis Herb (Marijuana)","Europe","Spain","Switzerland",-3.74922,40.463667,8.227512,46.818188
"256","Heroin","Europe","Spain","Finland",-3.74922,40.463667,25.748151,61.92411
"269","Heroin","Europe","Pakistan","Spain",69.345116,30.375321,-3.74922,40.463667
"273","Cocaine","Europe","Guatemala","Spain",-90.230759,15.783471,-3.74922,40.463667
"277","Cocaine","Europe","Ecuador","Belgium",-78.183406,-1.831239,4.469936,50.503887
"288","Cocaine","Europe","Chile","Spain",-71.542969,-35.675147,-3.74922,40.463667
"289","Cocaine","Europe","Colombia","Finland",-74.297333,4.570868,25.748151,61.92411
"300","Cocaine","Europe","Ethiopia","Spain",40.489673,9.145,-3.74922,40.463667
"303","Cocaine","Europe","Peru","Austria",-75.015152,-9.189967,14.550072,47.516231
"306","Cannabis Herb (Marijuana)","Africa","Algeria","France",1.659626,28.033886,2.213749,46.227638
"308","Cocaine","Americas","El Salvador","Other",-88.89653,13.794185,-2.8812479,51.0802361
"309","Cocaine","Americas","Honduras","El Salvador",-86.241905,15.199999,-88.89653,13.794185
"310","Cocaine","Americas","Ecuador","Guatemala",-78.183406,-1.831239,-90.230759,15.783471
"313","Heroin","Americas","Colombia","Honduras",-74.297333,4.570868,-86.241905,15.199999
"314","Heroin","Americas","Ecuador","Mexico",-78.183406,-1.831239,-102.552784,23.634501
"315","Cocaine","Americas","Costa Rica","Guatemala",-83.753428,9.748917,-90.230759,15.783471
"320","Cocaine","Americas","Guatemala","El Salvador",-90.230759,15.783471,-88.89653,13.794185
"322","Cocaine","Americas","Guatemala","Mexico",-90.230759,15.783471,-102.552784,23.634501
"330","Heroin","Asia","Turkey","Armenia",35.243322,38.963745,NA,NA
"339","Cocaine","Asia","Colombia","Kazakhstan",-74.297333,4.570868,66.923684,48.019573
"358","Cannabis Herb (Marijuana)","Europe","Ireland","Russian Federation",-8.24389,53.41291,105.318756,61.52401
"359","Cannabis Herb (Marijuana)","Europe","Russian Federation","Ukraine",105.318756,61.52401,31.16558,48.379433
"360","Cocaine","Europe","Germany","Russian Federation",10.451526,51.165691,105.318756,61.52401
"361","Cocaine","Europe","Costa Rica","Russian Federation",-83.753428,9.748917,105.318756,61.52401
"362","Cannabis Herb (Marijuana)","Europe","United Kingdom","Russian Federation",-3.435973,55.378051,105.318756,61.52401
